2021-09-09 09:25:00+00;23;18411AMK-03;10;8.16;3.69;253.5;0.73;6.59;-0.11;744.85;90.08;6.63;10.8817;8.39406;0.00012232;337.16
2021-09-09 12:31:00+00;23;18411AMK-03;10;8.69;3.23;277.8;1.03;4.98;-0.11;746.26;95.02;7.94;11.2793;8.68441;0.000122298;337.54
2021-09-09 15:38:00+00;23;18411AMK-03;10;6.12;0.43;152.4;0.37;0.49;-0.1;746.76;100;6.12;9.46459;7.35423;0.00012362;335.92
2021-09-09 18:44:00+00;23;18411AMK-03;10;6.29;1.67;185.3;0.51;2.78;-0.12;746.46;100;6.29;9.57611;7.43636;0.000123488;336.03
2021-09-09 21:51:00+00;23;18411AMK-03;10;5.24;1.3;209.8;0.6;2.16;-0.25;747.39;100;5.24;8.90543;6.94163;0.000124152;335.36
2021-09-10 00:57:00+00;23;18411AMK-03;10;4.1;2.17;181.1;1.23;3.34;-0.07;747.85;95.69;3.48;8.22458;6.43727;0.000124782;334.62
2021-09-10 04:04:00+00;23;18411AMK-03;10;8.22;1.69;150.8;0.74;2.33;-0.05;748.33;66.08;2.27;10.9263;8.42662;0.000122866;337.04
2021-09-10 07:11:00+00;23;18411AMK-03;10;10.76;2.77;168.1;0.92;3.9;-0.2;748.08;67.64;5.02;12.9576;9.90387;0.0001216;338.65
2021-09-10 10:17:00+00;23;18411AMK-03;10;13.23;2.82;151.4;0.35;4.95;0.04;747.34;69.01;7.67;15.2451;11.5518;0.000120291;340.23
2021-09-10 13:24:00+00;23;18411AMK-03;10;12.01;0.93;112.3;0.52;1.49;-0.05;746.37;82.3;9.08;14.0743;10.7102;0.000120719;339.57
2021-09-10 16:30:00+00;23;18411AMK-03;10;9.92;2.9;149.4;1.48;4.19;0.15;745.45;99.65;9.87;12.2517;9.39206;0.000121573;338.36
2021-09-10 19:37:00+00;23;18411AMK-03;10;9.63;1.53;129.4;0.99;2.26;0.03;744.01;97.24;9.21;12.0159;9.22077;0.000121476;338.16
2021-09-10 22:43:00+00;23;18411AMK-03;10;9.75;2.5;120.4;1.19;4.33;0.32;742.45;100;9.75;12.1129;9.29123;0.000121162;338.26
2021-09-11 01:50:00+00;23;18411AMK-03;10;10.31;1.91;137;0.75;3.5;0.35;740.88;100;10.31;12.5748;9.62651;0.000120637;338.62
2021-09-11 04:56:00+00;23;18411AMK-03;10;12.01;1.11;221.1;0.42;1.9;0.15;740.9;100;12.01;14.0739;10.7099;0.000119828;339.73
2021-09-11 08:03:00+00;23;18411AMK-03;10;13.09;1.4;210.4;0.54;2.34;-0.27;741.28;81.59;10.01;15.1062;11.4521;0.000119375;340.26
2021-09-11 11:09:00+00;23;18411AMK-03;10;13.35;2.48;190.7;0.43;5.37;-0.27;742.42;60.97;5.97;15.3645;11.6373;0.000119435;340.23
2021-09-11 14:16:00+00;23;18411AMK-03;10;8.65;0.32;238.5;0.13;0.58;-0;742.47;99.51;8.57;11.2487;8.66206;0.000121692;337.54
2021-09-11 17:22:00+00;23;18411AMK-03;10;8.04;0.64;138.7;0.16;1.43;-0.14;741.59;100;8.04;10.7933;8.3294;0.000121839;337.16
2021-09-11 20:29:00+00;23;18411AMK-03;10;7.67;0.81;131.6;0.24;1.51;0.01;740.99;100;7.67;10.5251;8.1331;0.000121917;336.92
2021-09-11 23:35:00+00;23;18411AMK-03;10;7.45;1.27;217.9;0.85;1.72;-0.34;740.9;100;7.45;10.3684;8.01832;0.000122008;336.78
2021-09-12 02:42:00+00;23;18411AMK-03;10;8.21;2.43;213.2;1.23;4.32;-0.59;741.02;88.38;6.4;10.9185;8.42094;0.000121664;337.19
2021-09-12 05:48:00+00;23;18411AMK-03;10;9.65;1.59;254.8;0.97;2.27;-0.43;741.02;77.53;5.92;12.0319;9.23238;0.000120975;338.03
2021-09-12 08:55:00+00;23;18411AMK-03;10;12.44;2.6;208.6;0.91;4.66;-0.24;741;48.48;1.87;14.4772;11.0002;0.000119639;339.55
2021-09-12 12:02:00+00;23;18411AMK-03;10;9.24;1.24;156.1;0.54;2.08;-0.01;741.84;91.41;7.91;11.7052;8.99471;0.000121306;337.87
2021-09-12 15:08:00+00;23;18411AMK-03;10;7.41;0.79;171.2;0.2;1.58;-0.04;742.58;100;7.41;10.3402;7.99766;0.000122305;336.75
2021-09-12 18:15:00+00;23;18411AMK-03;10;7.11;1.44;242.6;0.37;2.77;-0.15;743.21;100;7.11;10.1304;7.84379;0.000122554;336.56
2021-09-12 21:21:00+00;23;18411AMK-03;10;5.93;1.86;208.7;0.6;3.09;-0.16;743.84;100;5.93;9.34119;7.26328;0.000123226;335.81
2021-09-13 00:28:00+00;23;18411AMK-03;10;5.98;3.59;175.2;1.74;5.38;0.08;744.49;100;5.98;9.37352;7.28712;0.00012331;335.83
2021-09-13 03:34:00+00;23;18411AMK-03;10;7.54;1.71;178.3;0.81;3.57;-0.1;745.03;79.7;4.27;10.4324;8.06525;0.000122648;336.71
2021-09-13 06:41:00+00;23;18411AMK-03;10;8.05;2.93;175;1.2;5.14;-0.24;745.91;85.06;5.7;10.8008;8.33492;0.000122548;337.06
2021-09-13 09:47:00+00;23;18411AMK-03;10;7.94;1.59;173.6;0.83;2.52;0.03;747.07;95.86;7.32;10.7205;8.27614;0.000122793;337.06
2021-09-13 12:54:00+00;23;18411AMK-03;10;6.73;2.46;206.4;1.06;4.38;-0.28;748.58;100;6.73;9.87028;7.65274;0.000123628;336.31
2021-09-13 16:00:00+00;23;18411AMK-03;10;6.15;1.26;196.8;0.38;2.2;-0.2;750.35;100;6.15;9.48434;7.36878;0.000124203;335.94
2021-09-13 19:07:00+00;23;18411AMK-03;10;5.29;1.95;163.8;1.11;2.69;0.05;750.42;100;5.29;8.93652;6.96461;0.000124633;335.39
2021-09-13 22:13:00+00;23;18411AMK-03;10;5.48;1.68;181.6;0.73;2.34;-0.05;750.55;100;5.48;9.05509;7.0522;0.000124562;335.52
2021-09-14 01:20:00+00;23;18411AMK-03;10;5.32;1.24;217.6;0.4;2.14;-0.27;750.69;100;5.32;8.95516;6.97838;0.000124663;335.41
2021-09-14 04:26:00+00;23;18411AMK-03;10;8.7;1.82;215.7;0.91;3.38;-0.25;750.89;60;1.37;11.2872;8.69014;0.000123056;337.3
2021-09-14 07:33:00+00;23;18411AMK-03;10;11.29;3.67;227.4;1.66;5.33;-0.43;750.79;35.85;-3.3;13.4214;10.2392;0.000121787;338.73
2021-09-14 10:39:00+00;23;18411AMK-03;10;11.54;3.04;228.9;0.82;4.75;-0.41;751.63;38.4;-2.15;13.6451;10.4008;0.000121804;338.9
2021-09-14 13:46:00+00;23;18411AMK-03;10;6.69;0.47;152.9;0.36;0.67;-0.16;752.85;82.35;3.9;9.8434;7.63299;0.000124356;336.18
2021-09-14 16:52:00+00;23;18411AMK-03;10;3.68;0.97;154.7;0.61;1.34;-0.09;753.67;99.51;3.61;7.98579;6.25986;0.000125963;334.37
2021-09-14 19:59:00+00;23;18411AMK-03;10;1.83;0.86;188.8;0.47;1.28;-0.2;753.04;100;1.83;7.00462;5.52768;0.000126767;333.2
2021-09-14 23:06:00+00;23;18411AMK-03;10;1.33;0.24;95.4;0.1;0.32;-0.1;752.5;100;1.33;6.75847;5.34315;0.000126922;332.88
2021-09-15 02:12:00+00;23;18411AMK-03;10;4.31;0.55;132.1;0.22;0.79;-0.11;751.91;92.78;3.25;8.34657;6.52781;0.00012536;334.73
2021-09-15 05:19:00+00;23;18411AMK-03;10;10.12;2.12;154.9;1.35;3.07;-0.01;751.23;69.99;4.9;12.4169;9.51199;0.000122425;338.26
2021-09-15 08:25:00+00;23;18411AMK-03;10;8.99;1.68;128.7;0.87;2.63;0.07;751.06;92.04;7.77;11.5102;8.85276;0.000122944;337.71
2021-09-15 11:32:00+00;23;18411AMK-03;10;8.83;0.76;73.3;0.2;1.33;0;751.42;100;8.83;11.3867;8.76273;0.00012308;337.66
2021-09-15 14:38:00+00;23;18411AMK-03;10;8.82;1.03;118.2;0.68;1.51;0.01;751.3;100;8.82;11.379;8.75713;0.000123065;337.65
2021-09-15 17:45:00+00;23;18411AMK-03;10;8.73;0.96;162.6;0.35;1.59;-0.16;750.79;100;8.73;11.3101;8.70684;0.000123025;337.59
2021-09-15 20:51:00+00;23;18411AMK-03;10;8.83;0.48;96.9;0.21;0.71;-0.02;750.33;100;8.83;11.3867;8.76269;0.000122901;337.66
2021-09-15 23:58:00+00;23;18411AMK-03;10;9.15;1;76.6;0.53;1.52;0.03;749.33;100;9.15;11.6349;8.94354;0.000122581;337.86
